Роль 	Действие 	Цель 
Роль пользователя в системе 	Какое действие производит? 	Какая цель действия? 
Администратор	Добавляет пользователя 	Предоставить доступ к системе для нового сотрудника
Администратор	Просматривает виды работ 	Узнает какие работы уже существует для добавления новых или убрать более не нужные
Администратор	Меняет статус сотрудника 	Отразить текущую доступность сотрудника для назначения к работе
Администратор	Добавляет новые виды работ 	Расширение спектра услуг фирмы
Администратор	Просмотр всех заказов	Узнать какие заказы существуют и их статусы для составления отчётности 
Мастер 	Просмотр принятых заказов	Узнать какие работы требуется выполнить 
Мастер 	Смена статуса 	Указать в какой степени готовности находится заказ
Мастер	Увеличение времени заказа 	подобрать более правильный подход для выполнения заказа 
Менеджер 	Создание нового заказа	Принять нового заказа от клиента для выполнения
 
Менеджер	Смена статуса на «оплачено»	Завершить выполнение заказа
Менеджер 	Смена статуса на «принято»	Сделать заказ доступным для мастеров
